path,transcript
/sample0001.wav,سڵاو
/sample0002.wav,چونیت؟
/sample0003.wav,چونی؟
/sample0004.wav,باشم
/sample0005.wav,باش
/sample0006.wav,باش نیم
/sample0007.wav,سوپاس
/sample0008.wav,سپاس
/sample0009.wav,ئەی تۆ چۆنی؟
/sample0010.wav,ئەی تۆ؟
/sample0011.wav,ئەی تۆ چۆنیت؟
/sample0012.wav,تۆ
/sample0013.wav,من
/sample0014.wav,من باشم
/sample0015.wav,منیش
/sample0016.wav,منیش باشم سوپاس
/sample0017.wav,خۆشحاڵم بە ناسینت
/sample0018.wav,خۆشحاڵم
/sample0019.wav,منیش خۆشحاڵم
/sample0020.wav,زۆر سوپاس
/sample0021.wav,پیاو
/sample0022.wav,پیاوان
/sample0023.wav,شاخ
/sample0024.wav,شاخان
/sample0025.wav,نامه
/sample0026.wav,نامان
/sample0027.wav,پیاڵە
/sample0028.wav,پیاڵان
/sample0029.wav,فڕۆکە
/sample0030.wav,فڕۆکان
/sample0031.wav,ئاڵا
/sample0032.wav,ئاڵایان
/sample0033.wav,کۆمەڵگا
/sample0034.wav,کۆمەڵگایان
/sample0035.wav,مراوی
/sample0036.wav,مراویان
/sample0037.wav,جوان
/sample0038.wav,جوانتر
/sample0039.wav,جوانترین
/sample0040.wav,گەورە
/sample0041.wav,گەورەتر
/sample0042.wav,گەورەترین
/sample0043.wav,بەتەمەن
/sample0044.wav,بەتەمەنتر
/sample0045.wav,بەتەمەنترین
/sample0046.wav,ئاڵاکە
/sample0047.wav,هەرمێ
/sample0048.wav,هەرمێ کە
/sample0049.wav,سەیارە
/sample0050.wav,سەیارەکە
/sample0051.wav,کتێب
/sample0052.wav,کتێبەکە
/sample0053.wav,پیاوەکە
/sample0054.wav,ئاڵاکان
/sample0055.wav,کتێبەکان
/sample0056.wav,من
/sample0057.wav,تۆ
/sample0058.wav,ئەو
/sample0059.wav,ێمە
/sample0060.wav,ێوە
/sample0061.wav,ئەوان
/sample0062.wav,من دکتۆرم
/sample0063.wav,تۆ مامۆستای
/sample0064.wav,ئەو نەخۆشه
/sample0065.wav,کتێبەکەم
/sample0066.wav,سەیارەکەت
/sample0067.wav,چاکەتەکەی
/sample0068.wav,مامۆستاکەیان
/sample0069.wav,مراوی یەک
/sample0070.wav,کتێبێک
/sample0071.wav,سەیارەم هەیە
/sample0072.wav,سەیارەم نییە
/sample0073.wav,هەیە
/sample0074.wav,نییە
/sample0075.wav,کتێبە
/sample0076.wav,ماسی یە
/sample0077.wav,گەرمه
/sample0078.wav,ساردە
/sample0079.wav,جوانە
/sample0080.wav,نانەکە گەرمە
/sample0081.wav,شاخەکە بەرزە
/sample0082.wav,گوڵەکە جوانە
/sample0083.wav,کردن
/sample0084.wav,خواردن
/sample0085.wav,شۆردن
/sample0086.wav,فڕین
/sample0087.wav,خواردنەوە
/sample0088.wav,بردنەوە
/sample0089.wav,مانەوە
/sample0090.wav,جوڵانەوە
/sample0091.wav,کات
/sample0092.wav,کاتژمێر
/sample0093.wav,کاتژمێر جەندە؟
/sample0094.wav,کاتژمێر جەنە؟
/sample0095.wav,سەعات جەنە؟
/sample0096.wav,سەعات جەندە؟
/sample0097.wav,یهک
/sample0098.wav,دو
/sample0099.wav,سێ
/sample0100.wav,چوار
/sample0101.wav,پێنج
/sample0102.wav,شەش
/sample0103.wav,حەوت
/sample0104.wav,هەشت
/sample0105.wav,نۆ
/sample0106.wav,ده
/sample0107.wav,یانزە
/sample0108.wav,دوانزە
/sample0109.wav,سەعات پێنجە؟
/sample0110.wav,کاتژمێر پێنجە؟
/sample0111.wav,نیو
/sample0112.wav,پێنج و نیو
/sample0113.wav,چارەک
/sample0114.wav,پێنج و چارەک
/sample0115.wav,خولەک
/sample0116.wav,دەقە
/sample0117.wav,پێنج و دە دەقە
/sample0118.wav,سەعات پێنج و دە دەقە
/sample0119.wav,کاتژمێر پێنج و دە خولەک
/sample0120.wav,زۆر باشە
/sample0121.wav,چرکە
/sample0122.wav,سانیە
/sample0123.wav,ڕوژ
/sample0124.wav,مانگ
/sample0125.wav,هەفتە
/sample0126.wav,ساڵ
/sample0127.wav,بیست و یهک ساڵم
/sample0128.wav,بیست و دو ساڵم
/sample0129.wav,مانگی یەک
/sample0130.wav,مانگی دو
/sample0131.wav,مانگی سێ
/sample0132.wav,مانگی چوار
/sample0133.wav,مانگی پێنج
/sample0134.wav,بیست و یهکی شەش
/sample0135.wav,کەی لەدایک بویت؟
/sample0136.wav,سیانزەی یانزە
/sample0137.wav,سیانزەی یانزە لەدایک بون
/sample0138.wav,ڕۆژی لەدایکبونت کەیە؟
/sample0139.wav,ئەمڕۆ
/sample0140.wav,شەو
/sample0141.wav,ئەمشەو
/sample0142.wav,بەیانی
/sample0143.wav,سبەینێ
/sample0144.wav,سبەی
/sample0145.wav,دوێنی
/sample0146.wav,پێرێ
/sample0147.wav,بەسر پێرێ
/sample0148.wav,تەمەن
/sample0149.wav,ئەی تەمەنی پڕ ئەسرینم
/sample0150.wav,ئەڕۆی ئاور نادەیتەوە
/sample0151.wav,لەگەڵ هەمو هەنگاوێکتا
/sample0152.wav,لە عمری من ئەسڕیتەوە
/sample0153.wav,خۆزگە منیشوەک پەپولە
/sample0154.wav,گشت تەمەنم وەرزێک بوایە
/sample0155.wav,دور لەخەم و تاڵی ژیان
/sample0156.wav,تەنیا گوڵم بناسیایا
/sample0157.wav,ڕێگام سەودای تەنیاییەو
/sample0158.wav,کەسێک نایە بۆ سەردانم
/sample0159.wav,ئیترچی بکەم لەم تەمەنە
